timestamp,contact_1,contact_2,contact_3,contact_4
1742312694.114481,54,18,18,46
1742312694.1164665,54,18,18,45
1742312694.1185277,54,18,18,45
1742312694.1204958,54,18,18,45
1742312694.1227584,54,18,18,45
1742312694.124748,54,18,18,45
1742312694.1267629,54,18,18,45
1742312694.128802,54,18,18,45
1742312694.1308084,54,18,18,45
1742312694.1324985,54,18,18,45
1742312694.1344833,54,18,18,45
1742312694.1364996,54,18,18,45
1742312694.1385713,54,18,18,45
1742312694.1405022,54,18,18,45
1742312694.1424954,54,18,18,45
1742312694.144498,54,18,18,45
1742312694.146488,54,18,18,46
1742312694.1484945,54,18,18,46
1742312694.150494,54,18,18,46
1742312694.1525116,54,18,18,46
1742312694.1544986,54,18,18,47
1742312694.1564777,54,18,18,47
1742312694.1585398,56,18,18,48
1742312694.1604877,56,18,18,48
1742312694.1624875,56,18,18,48
1742312694.1644914,56,18,18,49
1742312694.1665096,56,18,18,49
1742312694.1685424,57,18,18,49
1742312694.1706152,57,18,18,49
1742312694.172488,57,18,18,49
1742312694.1744661,57,18,18,49
1742312694.1764681,57,18,18,49
1742312694.1784637,58,18,18,49
1742312694.1804898,58,18,18,49
1742312694.1824913,60,18,18,49
1742312694.1844804,60,18,18,49
1742312694.1865046,60,18,18,49
1742312694.1885207,61,18,18,48
1742312694.1904707,61,18,18,48
1742312694.1924853,61,18,18,48
1742312694.1944761,60,18,18,48
1742312694.1964839,60,18,18,48
1742312694.198609,60,18,18,48
1742312694.2004824,60,18,18,46
1742312694.2025003,60,18,18,46
1742312694.2044768,60,18,18,46
1742312694.2065365,60,18,18,46
1742312694.208503,60,18,18,46
1742312694.210507,60,18,18,46
1742312694.2125046,60,18,18,44
1742312694.2144947,59,18,18,44
1742312694.2165067,59,18,18,44
1742312694.2184732,59,18,18,45
1742312694.2204888,56,18,18,45
1742312694.222434,56,18,18,45
1742312694.2244833,56,23,50,49
1742312694.2264712,54,23,50,49
1742312694.2285113,54,23,50,49
1742312694.2305205,55,49,69,52
1742312694.2324855,55,49,69,52
1742312694.2344973,55,49,69,52
1742312694.2364743,55,64,65,45
1742312694.2384706,54,64,65,45
1742312694.2405188,54,64,65,45
1742312694.2425158,54,65,65,38
1742312694.2445188,45,65,54,38
1742312694.246549,45,65,54,38
1742312694.2485647,25,54,51,23
1742312694.250494,25,54,51,23
